"Order ID","Sale Date","Sale price","COGS","Status","Store Name","Store Id","Customer Invoice Number"
"f0yg-09s8","2020-07-16 20:11:22.343000","94.0","75.56","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006031"
"f4gt-op2c","2020-07-16 20:13:37.089000","450.5","368.81","done","PandaNow (Wattana)","f4gt","ABB-0000006033"
"f3mt-6x55","2020-07-16 20:14:09.375000","279.0","216.67","done","PandaNow (Sathorn)","f3mt","ABB-0000006034"
"f0yg-ja7h","2020-07-16 20:14:31.277000","146.0","129.48","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006032"
"f6cs-sl6p","2020-07-16 20:17:33.962000","96.0","79.42","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000006035"
"f3mt-n3nc","2020-07-16 20:18:20.936000","572.25","487.20","done","PandaNow (Sathorn)","f3mt","ABB-0000006037"
"f3mt-0h2l","2020-07-16 20:19:12.217000","58.0","95.88","done","PandaNow (Sathorn)","f3mt","ABB-0000006038"
"f4gt-eb8l","2020-07-16 20:23:22.913000","186.0","146.10","done","PandaNow (Wattana)","f4gt","ABB-0000006036"
"f4gt-1oh1","2020-07-16 20:26:45.486000","164.0","132.94","done","PandaNow (Wattana)","f4gt","ABB-0000006039"
"f3mt-7ovk","2020-07-16 20:30:18.740000","50.0","81.74","done","PandaNow (Sathorn)","f3mt","ABB-0000006040"
"f4gt-la9i","2020-07-16 20:34:03.977000","243.0","197.74","done","PandaNow (Wattana)","f4gt","ABB-0000006041"
"f0yg-4v85","2020-07-16 20:38:22.799000","79.0","59.38","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006042"
"f3mt-ele8","2020-07-16 20:42:28.674000","100.0","137.05","done","PandaNow (Sathorn)","f3mt","ABB-0000006044"
"f3mt-djrx","2020-07-16 20:43:31.167000","30.0","43.62","done","PandaNow (Sathorn)","f3mt","ABB-0000006043"
"f3mt-mlst","2020-07-16 20:45:30.203000","79.8","74.76","done","PandaNow (Sathorn)","f3mt","ABB-0000006045"
"f0yg-hg7x","2020-07-16 20:47:37.048000","80.0","64.80","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006046"
"f3mt-705h","2020-07-16 20:48:47.165000","57.0","43.67","done","PandaNow (Sathorn)","f3mt","ABB-0000006047"
"f4gt-51w2","2020-07-16 20:50:58.017000","82.0","63.73","done","PandaNow (Wattana)","f4gt","ABB-0000006049"
"f0yg-4vxf","2020-07-16 20:52:20.733000","101.0","87.44","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006048"
"f0yg-xcqo","2020-07-16 20:57:33.427000","96.0","69.86","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006050"
"f3mt-yv21","2020-07-16 21:04:51.401000","102.0","151.21","done","PandaNow (Sathorn)","f3mt","ABB-0000006052"
"f3mt-yfbv","2020-07-16 21:05:45.882000","104.0","62.75","done","PandaNow (Sathorn)","f3mt","ABB-0000006051"
"f4gt-8tz9","2020-07-16 21:06:56.480000","260.0","170.91","done","PandaNow (Wattana)","f4gt","ABB-0000006053"
"f3mt-78oj","2020-07-16 21:08:42.736000","89.0","69.86","done","PandaNow (Sathorn)","f3mt","ABB-0000006054"
"f4gt-3r0q","2020-07-16 21:08:54.354000","224.0","184.23","done","PandaNow (Wattana)","f4gt","ABB-0000006056"
"f4gt-73mu","2020-07-16 21:09:00.326000","79.0","59.41","done","PandaNow (Wattana)","f4gt","ABB-0000006057"
"f0yg-s4dc","2020-07-16 21:12:47.519000","75.0","54.08","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006058"
"f4gt-i4hv","2020-07-16 21:15:49.532000","108.36","94.20","done","PandaNow (Wattana)","f4gt","ABB-0000006059"
"f0yg-e79w","2020-07-16 21:18:32.903000","54.0","47.94","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006060"
"f0yg-dbxj","2020-07-16 21:23:50.795000","134.0","99.08","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006061"
"f3mt-yebv","2020-07-16 21:37:18.976000","104.0","78.42","done","PandaNow (Sathorn)","f3mt","ABB-0000006062"
"f4gt-jlwa","2020-07-16 21:40:47.879000","187.0","163.08","done","PandaNow (Wattana)","f4gt","ABB-0000006064"
"f4gt-alx3","2020-07-16 21:41:33.607000","105.0","78.91","done","PandaNow (Wattana)","f4gt","ABB-0000006063"
"f3mt-kyvv","2020-07-16 21:51:29.273000","102.0","150.84","done","PandaNow (Sathorn)","f3mt","ABB-0000006065"
"f4gt-644w","2020-07-16 21:58:06.674000","174.34","147.41","done","PandaNow (Wattana)","f4gt","ABB-0000006066"
"f0yg-5p0k","2020-07-16 21:59:41.822000","62.0","48.70","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006067"
"f4gt-qal6","2020-07-16 22:03:13.472000","286.0","229.16","done","PandaNow (Wattana)","f4gt","ABB-0000006069"
"f4gt-77ce","2020-07-16 22:05:30.089000","113.0","91.34","done","PandaNow (Wattana)","f4gt","ABB-0000006068"
"f6cs-0ybh","2020-07-16 22:08:43.239000","89.0","54.07","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000006070"
"f0yg-jcs8","2020-07-16 22:10:27.511000","66.13","55.83","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006071"
"f0yg-6p0u","2020-07-16 22:13:22.795000","50.0","38.43","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006072"
"f3mt-cnas","2020-07-16 22:27:50.781000","99.0","71.07","done","PandaNow (Sathorn)","f3mt","ABB-0000006073"
"f3mt-m21a","2020-07-16 22:49:31.516000","50.0","90.58","done","PandaNow (Sathorn)","f3mt","ABB-0000006074"
"f4gt-frbj","2020-07-16 22:51:38.372000","473.0","372.46","done","PandaNow (Wattana)","f4gt","ABB-0000006076"
"f6cs-llac","2020-07-16 22:52:21.292000","177.0","140.61","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000006075"
"f3mt-rzyz","2020-07-16 22:54:50.730000","62.0","88.98","done","PandaNow (Sathorn)","f3mt","ABB-0000006077"
"f3mt-i4so","2020-07-16 22:56:41.090000","75.0","56.36","done","PandaNow (Sathorn)","f3mt","ABB-0000006078"
"f4gt-rjd6","2020-07-16 22:57:33.022000","55.0","46.74","done","PandaNow (Wattana)","f4gt","ABB-0000006079"
"f3mt-98la","2020-07-16 22:58:13.318000","95.0","68.69","done","PandaNow (Sathorn)","f3mt","ABB-0000006080"
"f0yg-2ddp","2020-07-16 22:58:34.190000","121.0","96.43","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006081"
"f0yg-cds7","2020-07-16 23:01:03.465000","68.0","56.08","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006082"
"f4gt-810p","2020-07-16 23:09:29.517000","50.0","28.05","done","PandaNow (Wattana)","f4gt","ABB-0000006084"
"f3mt-cucc","2020-07-16 23:10:02.665000","40.0","76.64","done","PandaNow (Sathorn)","f3mt","ABB-0000006083"
"f0yg-psev","2020-07-16 23:17:12.366000","352.0","275.24","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006085"
"f0yg-qpud","2020-07-16 23:23:23.684000","53.32","46.36","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006086"
"f3mt-vylk","2020-07-16 23:40:15.098000","307.0","241.72","done","PandaNow (Sathorn)","f3mt","ABB-0000006087"
"f3mt-80a7","2020-07-16 23:43:05.472000","99.0","78.97","done","PandaNow (Sathorn)","f3mt","ABB-0000006088"
"f0yg-urlq","2020-07-16 23:45:24.147000","101.0","84.45","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006089"
"f3mt-xldp","2020-07-16 23:57:10.861000","50.0","32.15","done","PandaNow (Sathorn)","f3mt","ABB-0000006090"
"f6cs-vpxn","2020-07-17 00:07:53.429000","50.0","73.35","done","PandaNow (Ngamwongwan)","f6cs","20207306"
"f6cs-lpas","2020-07-17 00:08:20.034000","57.0","88.85","done","PandaNow (Ngamwongwan)","f6cs","20207307"
"f0yg-kinu","2020-07-17 00:13:29.470000","50.0","32.11","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006091"
"f3mt-onws","2020-07-17 00:16:20.676000","162.0","130.86","done","PandaNow (Sathorn)","f3mt","ABB-0000006092"
"f3mt-cs4x","2020-07-17 00:20:46.658000","65.0","88.28","done","PandaNow (Sathorn)","f3mt","ABB-0000006093"
"f4gt-im50","2020-07-17 00:39:11.933000","148.0","117.56","done","PandaNow (Wattana)","f4gt","ABB-0000006094"
"f3mt-ysw1","2020-07-17 00:54:27.333000","56.16","77.81","done","PandaNow (Sathorn)","f3mt","ABB-0000006095"
